Carimbo de data/hora;Selecione o seu Perfil de Conectividade neste semestre, dentre as opções a seguir:;Quantos semestres faltam para você se formar?;Marque as linguagens de programação que você já teve algum contato prático:;Das disciplinas listadas a seguir, marque todas que você já cursou e foi APROVADO:;Você já teve experiência de participação em projetos de Pesquisa e Desenvolvimento?;"Caso tenha respondido ""SIM"" na pergunta anterior, responda: Você desempenhou alguma tarefa envolvendo Visualização de Dados?";Qual a sua cidade natal? (Responder no formato: Cidade - UF);Qual a sua idade?
15/04/2026 14:08;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];1;C, Java, JavaScript, Python, R, TypeScript;APRENDIZAGEM DE MÁQUINA, BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL, PROGRAMAÇÃO PARA WEB;Sim;Sim;Esperança-PB;20
15/04/2026 14:10;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];2;Java, PHP, Python, TypeScript;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Sim;Não;Campina Grande - PB;23
15/04/2026 14:11;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];3;Java, JavaScript, Python;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Sim;Não;Esperança - PB;20
15/04/2026 14:11;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];2;C, C++, Java, JavaScript, Python, R, TypeScript;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL, PROGRAMAÇÃO PARA WEB;Sim;Não;Afogados da Ingazeira - PE;27
15/04/2026 14:30;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];2;C, C++, Java, JavaScript, Python, R, TypeScript;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Sim;Sim;Campina Grande - PB;21
15/04/2026 14:34;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];1;Java, JavaScript, Python, TypeScript;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Sim;Sim;Campina Grande - PB;21
15/04/2026 14:35;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];0 (este é o último);Java, JavaScript, Python, TypeScript;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL, PROGRAMAÇÃO PARA WEB;Sim;Sim;Tenente Ananias - RN;24
15/04/2026 14:42;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];4;Java, Python, R;BANCO DE DADOS I, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Não;;Campina Grande - PB;23
15/04/2026 14:50;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];0 (este é o último);Java, JavaScript, PHP, Python, R, TypeScript;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Sim;Sim;Cajazeiras - PB;26
15/04/2026 14:56;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];2;C++, Java, Python, R;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Sim;Não;Esperança - PB;20
